opening_name,side,num_games,ECO,last_played_date,perf_rating,avg_player,perc_player_win,perc_draw,pec_opponent_win,moves_list,move1w,move1b,move2w,move2b,move3w,move3b,move4w,move4b,perc_white_win,perc_black_win,white_odds,white_wins,black_wins
"Anderssen Opening, General",white,1308,A00,6/25/18,2124,2126,35.7,25.6,38.7,['1.a3'],a3,,,,,,,,35.7,38.7,0.92248062,466.956,506.196
"Nimzo-Larsen Attack, Classical Variation",black,4094,A01,7/7/18,2186,2193,34,29.1,36.9,"['1.b3', 'd5']",b3,d5,,,,,,,36.9,34,1.085294118,1510.686,1391.96
"Nimzo-Larsen Attack, Dutch Variation",black,185,A01,5/7/18,2120,2133,34.6,27.6,37.8,"['1.b3', 'f5']",b3,f5,,,,,,,37.8,34.6,1.092485549,69.93,64.01
"Nimzo-Larsen Attack, English Variation",black,907,A01,6/23/18,2205,2215,37.2,25.5,37.4,"['1.b3', 'c5']",b3,c5,,,,,,,37.4,37.2,1.005376344,339.218,337.404
"Nimzo-Larsen Attack, General",white,995,A01,7/7/18,2178,2177,40.3,26,33.7,['1.b3'],b3,,,,,,,,40.3,33.7,1.195845697,400.985,335.315
"Nimzo-Larsen Attack, Indian Variation",black,2725,A01,7/9/18,2160,2166,31.4,29,39.6,"['1.b3', 'Nf6']",b3,Nf6,,,,,,,39.6,31.4,1.261146497,1079.1,855.65
"Nimzo-Larsen Attack, Modern Variation",black,6845,A01,7/8/18,2199,2207,35.6,27.8,36.6,"['1.b3', 'e5']",b3,e5,,,,,,,36.6,35.6,1.028089888,2505.27,2436.82
"Nimzo-Larsen Attack, Symmetrical Variation",black,383,A01,7/4/18,2201,2208,27.7,34.2,38.1,"['1.b3', 'b6']",b3,b6,,,,,,,38.1,27.7,1.375451264,145.923,106.091
"Polish Opening, Czech Defense",black,676,A00,5/26/18,1981,2007,36,21.1,42.9,"['1.b4', 'e5', '2.Bb2', 'd6']",b4,e5,Bb2,d6,,,,,42.9,36,1.191666667,290.004,243.36
"Polish Opening, Baltic Defense",black,206,A00,3/18/18,2006,2000,37.4,26.2,36.4,"['1.b4', 'd5', '2.Bb2', 'Bf5']",b4,d5,Bb2,Bf5,,,,,36.4,37.4,0.973262032,74.984,77.044
"Polish Opening, Bugayev Attack",white,330,A00,7/9/18,2076,2086,36.1,21.5,42.4,"['1.b4', 'e5', '2.a3']",b4,e5,a3,,,,,,36.1,42.4,0.851415094,119.13,139.92
"Polish Opening, General",white,3071,A00,6/29/18,2021,2015,36.1,20.8,43.1,['1.b4'],b4,,,,,,,,36.1,43.1,0.837587007,1108.631,1323.601
"Polish Opening, German Defense",black,176,A00,6/1/18,2101,2122,46.6,22.2,31.3,"['1.b4', 'd5', '2.Bb2', 'Qd6']",b4,d5,Bb2,Qd6,,,,,31.3,46.6,0.67167382,55.088,82.016
"Polish Opening, King's Indian Variation",black,202,A00,2/6/18,2067,2108,36.1,24.8,39.1,"['1.b4', 'Nf6', '2.Bb2', 'g6']",b4,Nf6,Bb2,g6,,,,,39.1,36.1,1.083102493,78.982,72.922
"Polish Opening, King's Indian Variation, Sokolsky Attack",white,354,A00,6/16/18,2315,2286,38.7,29.7,31.6,"['1.b4', 'Nf6', '2.Bb2', 'g6', '3.c4', 'Bg7', '4.e3', 'd6', '5.Nf3', 'O-O', '6.d4']",b4,Nf6,Bb2,g6,c4,Bg7,e3,d6,38.7,31.6,1.224683544,136.998,111.864
"Polish Opening, Outflank Variation",black,436,A00,6/8/18,2112,2117,43.8,24.5,31.6,"['1.b4', 'c6']",b4,c6,,,,,,,31.6,43.8,0.721461187,137.776,190.968
