zip,price,year,borough
10451,1004797.0,2010,Bronx
10452,1436891.14,2010,Bronx
10453,1271921.72,2010,Bronx
10454,1178935.48,2010,Bronx
10455,985033.35,2010,Bronx
10456,1144373.4,2010,Bronx
10457,1607381.66,2010,Bronx
10458,1085638.93,2010,Bronx
10459,364857.67,2010,Bronx
10460,828449.46,2010,Bronx
10461,565804.11,2010,Bronx
10462,307380.85,2010,Bronx
10463,621433.3,2010,Bronx
10464,492738.97,2010,Bronx
10465,510416.46,2010,Bronx
10466,486043.22,2010,Bronx
10467,508771.2,2010,Bronx
10468,1253467.72,2010,Bronx
10469,381022.09,2010,Bronx
10470,429738.29,2010,Bronx
10471,557819.9,2010,Bronx
10472,494777.71,2010,Bronx
10473,332317.81,2010,Bronx
10474,761761.14,2010,Bronx
10475,574538.46,2010,Bronx
11201,1010297.5,2010,Brooklyn
11203,443258.74,2010,Brooklyn
11204,610927.59,2010,Brooklyn
11205,537980.31,2010,Brooklyn
11206,620634.64,2010,Brooklyn
11207,402260.87,2010,Brooklyn
11208,362728.17,2010,Brooklyn
11209,658278.21,2010,Brooklyn
11210,533827.39,2010,Brooklyn
11211,839247.56,2010,Brooklyn
11212,444101.63,2010,Brooklyn
11213,576825.01,2010,Brooklyn
11214,630791.01,2010,Brooklyn
11215,824410.32,2010,Brooklyn
11216,465175.33,2010,Brooklyn
11217,907608.5,2010,Brooklyn
11218,700295.33,2010,Brooklyn
11219,670316.78,2010,Brooklyn
11220,639587.97,2010,Brooklyn
11221,436137.77,2010,Brooklyn
11222,968384.1,2010,Brooklyn
11223,738129.28,2010,Brooklyn
11224,444913.13,2010,Brooklyn
11225,854322.6,2010,Brooklyn
11226,747715.34,2010,Brooklyn
11228,741427.63,2010,Brooklyn
11229,513757.87,2010,Brooklyn
11230,679307.24,2010,Brooklyn
11231,983652.19,2010,Brooklyn
11232,527933.17,2010,Brooklyn
11233,442382.7,2010,Brooklyn
11234,533377.75,2010,Brooklyn
11235,571705.87,2010,Brooklyn
11236,442503.04,2010,Brooklyn
11237,556380.03,2010,Brooklyn
11238,671987.89,2010,Brooklyn
11239,273238.0,2010,Brooklyn
11243,848100.0,2010,Brooklyn
11416,368087.33,2010,Brooklyn
10001,6215075.42,2010,Manhattan
10002,1433065.7,2010,Manhattan
10003,2509130.26,2010,Manhattan
10004,6513917.25,2010,Manhattan
10005,1847454.54,2010,Manhattan
10006,867114.37,2010,Manhattan
10007,3105625.12,2010,Manhattan
10009,1560977.83,2010,Manhattan
10010,2156364.24,2010,Manhattan
10011,5322440.35,2010,Manhattan
10012,2895199.61,2010,Manhattan
10013,2959808.96,2010,Manhattan
10014,3516723.44,2010,Manhattan
10016,1742599.26,2010,Manhattan
10017,3553660.41,2010,Manhattan
10018,19845601.46,2010,Manhattan
10019,494166.18,2010,Manhattan
10021,3027027.02,2010,Manhattan
10022,5641392.01,2010,Manhattan
10023,1911923.01,2010,Manhattan
10024,2220115.57,2010,Manhattan
10025,1328437.23,2010,Manhattan
10026,772624.17,2010,Manhattan
10027,1014459.07,2010,Manhattan
10028,2178448.29,2010,Manhattan
10029,1708593.92,2010,Manhattan
10030,951439.69,2010,Manhattan
10031,866646.53,2010,Manhattan
10032,1683339.36,2010,Manhattan
10033,1571505.7,2010,Manhattan
10034,906177.42,2010,Manhattan
10035,805515.43,2010,Manhattan
10036,3585029.37,2010,Manhattan
10037,9012311.06,2010,Manhattan
10038,2912070.04,2010,Manhattan
10039,3295803.85,2010,Manhattan
10040,937431.18,2010,Manhattan
10044,606701.52,2010,Manhattan
10065,2653609.62,2010,Manhattan
10069,2014790.73,2010,Manhattan
10075,1627787.08,2010,Manhattan
10128,1630931.92,2010,Manhattan
10280,1259655.13,2010,Manhattan
10282,2516145.67,2010,Manhattan
10463,2112405.83,2010,Manhattan
11001,440177.42,2010,Queens
11004,422168.81,2010,Queens
11005,353111.79,2010,Queens
11040,428368.42,2010,Queens
11101,1368080.46,2010,Queens
11102,797107.63,2010,Queens
11103,793098.17,2010,Queens
11104,668137.58,2010,Queens
11105,580608.15,2010,Queens
11106,749060.12,2010,Queens
11109,899597.82,2010,Queens
11354,4475787.39,2010,Queens
11355,495111.58,2010,Queens
11356,585320.94,2010,Queens
11357,578570.07,2010,Queens
11358,632211.9,2010,Queens
11360,506469.58,2010,Queens
11361,640000.48,2010,Queens
11362,694826.67,2010,Queens
11363,759618.29,2010,Queens
11364,520158.75,2010,Queens
11365,571009.76,2010,Queens
11366,578921.31,2010,Queens
11367,371418.31,2010,Queens
11368,599271.71,2010,Queens
11369,424075.3,2010,Queens
11370,635221.13,2010,Queens
11372,589386.24,2010,Queens
11373,529107.0,2010,Queens
11374,377890.34,2010,Queens
11375,478067.01,2010,Queens
11377,595542.68,2010,Queens
11378,587757.13,2010,Queens
11379,528300.48,2010,Queens
11385,550769.2,2010,Queens
11411,333947.17,2010,Queens
11412,314459.69,2010,Queens
11413,370241.36,2010,Queens
11414,362950.82,2010,Queens
11415,632734.78,2010,Queens
11416,603593.37,2010,Queens
11417,387693.19,2010,Queens
11418,467332.33,2010,Queens
11419,341816.74,2010,Queens
11420,344022.11,2010,Queens
11421,348719.29,2010,Queens
11422,356053.51,2010,Queens
11423,446938.72,2010,Queens
11426,423529.55,2010,Queens
11427,486819.24,2010,Queens
11428,358603.69,2010,Queens
11429,327388.25,2010,Queens
11432,531702.34,2010,Queens
11433,328098.24,2010,Queens
11434,382855.95,2010,Queens
11435,331507.93,2010,Queens
11436,270640.05,2010,Queens
11691,320963.14,2010,Queens
11692,309697.01,2010,Queens
11693,302170.1,2010,Queens
11694,525333.2,2010,Queens
10301,364876.15,2010,StatenIsland
10302,289841.37,2010,StatenIsland
10303,344821.1,2010,StatenIsland
10304,451729.03,2010,StatenIsland
10305,408307.78,2010,StatenIsland
10306,418216.29,2010,StatenIsland
10307,543642.81,2010,StatenIsland
10308,392376.74,2010,StatenIsland
10309,529534.16,2010,StatenIsland
10310,373064.48,2010,StatenIsland
10312,458766.34,2010,StatenIsland
10314,388628.97,2010,StatenIsland
10451,1103211.65,2011,Bronx
